Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3747299697.2454969,332640000.0,2556338400.0 
 06/02,3704649871.429482,332640000.0,2556338400.0 
 06/03,3769317031.042757,332640000.0,2556338400.0 
 06/04,3808258847.547263,332640000.0,2556338400.0 
 06/05,3551026281.7360589,332640000.0,2556338400.0 
 06/06,3400439298.6591026,281160000.0,3042646200.0 
 06/07,2747447776.3812787,281160000.0,3042646200.0 
 06/08,2522025019.54764,332640000.0,2556338400.0 
 06/09,2685577774.6180808,332640000.0,2556338400.0 
 06/10,2602074315.3583867,332640000.0,2556338400.0 
 06/11,3291854864.292967,332640000.0,2556338400.0 
 06/12,2676709657.4916765,332640000.0,2556338400.0 
 06/13,1852993589.198515,281160000.0,3042646200.0 
 06/14,2392834162.8957989,281160000.0,3042646200.0 
 06/15,1688603456.6656738,332640000.0,2556338400.0 
 06/16,2052905247.2248548,332640000.0,2556338400.0 
 06/17,2039567135.1688426,332640000.0,2556338400.0 
 06/18,2302290187.5244038,332640000.0,2556338400.0 
 06/19,3283551817.135462,332640000.0,2556338400.0 
 06/20,3198727202.574059,281160000.0,3042646200.0 
 06/21,3605211904.0775377,281160000.0,3042646200.0 
 06/22,3771869308.609315,332640000.0,2556338400.0 
 06/23,4084231938.2132365,332640000.0,2556338400.0 
 06/24,3929290331.5565626,332640000.0,2556338400.0 
 06/25,3537804809.5993988,332640000.0,2556338400.0 
 06/26,3494530056.082343,332640000.0,2556338400.0 
 06/27,3508378909.0563566,281160000.0,3042646200.0 
 06/28,3851775145.5697,281160000.0,3042646200.0 
 06/29,3756825178.2253086,332640000.0,2556338400.0 
 06/30,3996982356.786106,332640000.0,2556338400.0 
