"index","case","datetime","key_value","name","units","value"
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_4182D5","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",24.9634238815724
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_C7CB71","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.4896134359776
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_C7CB71","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",80.5190316814603
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_656C49","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",52.5773144931892
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_656C49","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",26.4999279458767
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_EF34E7","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.5980948084437
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_EF34E7","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",88.2829971783106
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_E012F6","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",64.708917913096
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_E012F6","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",25.3768724220425
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_421611","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",68.209387344478
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_421611","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",25.5831503879521
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_27260D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",55.9122556781986
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_27260D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",26.3054357211044
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_69B3C6","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.3016149066207
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_69B3C6","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",99.7721015194443
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_F0F00C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",94.2335633605958
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_F0F00C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",33.592850419441
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_265AE9","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.1965671831551
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_265AE9","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",98.223649028221
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_1B2AB0","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",92.0041317556203
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_1B2AB0","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",31.6499385807446
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_5D703E","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",86.9429063564613
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_5D703E","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",33.2877799789518
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_C85C4C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",86.9536824978083
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_C85C4C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",33.3325421568452
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_8DAF8D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",20.1064546803739
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_8DAF8D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",100.82895285066
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_3FB956","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",91.6442282886402
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_3FB956","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",32.6081816900073
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_96BCDA","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",91.8738122478448
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_96BCDA","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",33.2053281350011
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_C2DD8D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",86.383835435513
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_C2DD8D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",31.9897948471245
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_23DAAD","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.9687024501119
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_23DAAD","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",100.321993087432
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_94BA8A","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",90.32977285942
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_94BA8A","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",31.9897948471245
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_7BA5DE","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",20.4087902604946
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_7BA5DE","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",101.361496922938
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_8BFBF7","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",89.5722441874107
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_8BFBF7","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",35.2629166847791
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_A50407","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",89.6242854405787
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_A50407","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",35.2959351563827
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_864E4C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",84.2777136572821
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_864E4C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",32.385346370176
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_E26F8E","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.8088311871139
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_E26F8E","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",98.5959585059942
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_F7ED9D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",78.7232354733757
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_F7ED9D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",32.6197633011846
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_B1BC35","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",93.6071414664708
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_B1BC35","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",34.7571271604285
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_A79403","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",93.208711108526
